ID_PARAMETRIZACION_DET;ID_PARAMETRIZACION_MAE;COD_AGRUPACION;COD_CIA;COD_SECC;COD_PRODUCTO;COD_COB ;NOMBRE COBERTURA;COD_CAUSA;CAUSA;COD_CONS;CONSECUENCIA;EXPEDIENTE;EXPEDIENTE_1;CONCEPTO RESERVA;CONC RESERVA;NOMBRE DATO VARIABLE SIMON;VALOR RESERVA;VR RESERVA;VALOR_FIJO;DESCRIPCION TIPO RESERVA
138;1;1;3;923;923;206;DANOS E NATURALES CNE;129;DANOS POR LLUVIA CON GRANIZO;74;P Y D CONTENIDO NO ELECTRICO;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. CONT NO ELECT;733;RA_VR_RESERVA_2;0;
139;1;1;3;923;923;206;DANOS E NATURALES CNE;129;DANOS POR LLUVIA CON GRANIZO;74;P Y D CONTENIDO NO ELECTRICO;DAA;DANOS POR AGUA Y ANEGACION;20;DANOS POR AGUA Y ANEGACION;VLR. RVA. CONT NO ELECT;733;RA_VR_RESERVA_2;0;
140;1;1;3;923;923;629;RESP CIVIL EXTRA INM;202;RESPONSABILIDAD CIVIL TERCEROS;18;PERDIDAS Y DANOS;AVE;AVERIA Y FALLAS E.E.;71;AVERIA Y FALLAS E.ELECTRO.;VLR. RVA. TODO RIESGO CONTENIDO;749;RA_VR_RESERVA_4;0;VALOR RESERVA 4 DADO EN EL SINIESTRO
141;1;1;3;923;923;629;RESP CIVIL EXTRA INM;202;RESPONSABILIDAD CIVIL TERCEROS;32;GASTOS MEDICOS SERVICIO DOMESTICO;GME;GASTOS MEDICOS;75;GASTOS MEDICOS;;730;RA_VR_FIJO RC 1;500000;VALOR FIJO 500.000
142;1;1;3;923;923;288;DANOS PERDIDAS ACC CE;926;HAMCC AMIT;59;DANOS RUTURA DE VIDRIOS;PRV;ROTURA DE VIDRIOS PF;68;ROTURA DE VIDRIOS;VLR. RVA. VIDRIOS;750;RA_VR_RESERVA_5;0;
143;1;1;3;923;923;288;DANOS PERDIDAS ACC CE;926;HAMCC AMIT;59;DANOS RUTURA DE VIDRIOS;PRV;ROTURA DE VIDRIOS PF;68;ROTURA DE VIDRIOS;VLR. RVA. VIDRIOS;750;RA_VR_RESERVA_5;0;
144;1;1;3;923;923;288;DANOS PERDIDAS ACC CE;926;HAMCC AMIT;1;LESIONES A UNA PERSONA;ERC;RESPONSABILIDAD CIVIL;92;RESPONSABILIDAD CIVIL;;730;RA_VR_FIJO RC 1;5000000;VALOR FIJO 5000000
145;1;1;3;923;923;288;DANOS PERDIDAS ACC CE;926;HAMCC AMIT;74;P Y D CONTENIDO NO ELECTRICO;AVE;AVERIA Y FALLAS E.E.;71;AVERIA Y FALLAS E.ELECTRO.;VLR. RVA. TODO RIESGO CONTENIDO;749;RA_VR_RESERVA_4;0;VALOR RESERVA 4 DADO EN EL SINIESTRO
146;1;1;3;923;923;288;DANOS PERDIDAS ACC CE;926;HAMCC AMIT;74;P Y D CONTENIDO NO ELECTRICO;AVE;AVERIA Y FALLAS E.E.;71;AVERIA Y FALLAS E.ELECTRO.;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
147;1;1;3;923;923;287;DANOS PERDIDAS ACC INM;926;HAMCC AMIT;74;P Y D CONTENIDO NO ELECTRICO;AVE;AVERIA Y FALLAS E.E.;71;AVERIA Y FALLAS E.ELECTRO.;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
148;1;1;3;923;923;289;DANOS PERDIDAS ACC CNE;926;HAMCC AMIT;18;PERDIDAS Y DANOS;HCD;HURTO CALIFICADO;72;SUSTRACCION CON VIOLENCIA COSA;VLR. RVA. TODO RIESGO CONTENIDO;749;RA_VR_RESERVA_4;0;VALOR RESERVA 4 DADO EN EL SINIESTRO
149;1;1;3;923;923;289;DANOS PERDIDAS ACC CNE;926;HAMCC AMIT;19;P Y D APARATOS ELECTRICOS;HCD;HURTO CALIFICADO;72;SUSTRACCION CON VIOLENCIA COSA;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
150;1;1;3;923;923;734;MUERTE ACCIDENTAL PE;992;ACCIDENTE / ENFERMEDAD;33;P Y D  EQUIPO ELECTRONICO;HCD;HURTO CALIFICADO;72;SUSTRACCION CON VIOLENCIA COSA;VLR. RVA. CONT ELECTRICO;734;RA_VR_RESERVA_3;0;VALOR RESERVA 3 DADO EN EL SINIESTRO
151;1;1;3;923;923;734;MUERTE ACCIDENTAL PE;992;ACCIDENTE / ENFERMEDAD;74;P Y D CONTENIDO NO ELECTRICO;HCD;HURTO CALIFICADO;72;SUSTRACCION CON VIOLENCIA COSA;VLR. RVA. CONT NO ELECT;733;RA_VR_RESERVA_2;0;VALOR RESERVA 2 DADO EN EL SINIESTRO
152;1;1;3;923;923;624;EXONERA PRIMA PE;992;ACCIDENTE / ENFERMEDAD;8;DANOS A BIEN PRIVADO;GSO;GASTOS SINIESTROS;74;SUSTRACCION SIN VIOLENCIA;;889;RA_VR_FIJO_GSO_ 120000;120000;valor fijo 120.000
